Frequency(Hz),Magnitude,Power(dB)
9.200000000000001066e+00,1.584855737617664624e-04,-7.600019979036451900e+01
9.400000000000000355e+00,3.507318439820136303e-04,-6.910049355243940283e+01
9.600000000000001421e+00,2.785264002612880584e-04,-7.110266955596489424e+01
9.800000000000000711e+00,1.686788463843393103e-04,-7.545878240745894061e+01
1.000000000000000000e+01,3.056094377762061083e-04,-7.029666191953570831e+01
1.020000000000000107e+01,1.642042166924039177e-04,-7.569230860193825094e+01
1.040000000000000036e+01,3.918142800145356331e-04,-6.813839257936476201e+01
1.060000000000000142e+01,4.347791190338758474e-04,-6.723462443774045028e+01
1.080000000000000071e+01,4.629311381894024970e-04,-6.668967024843790625e+01
1.100000000000000000e+01,3.908700711142678794e-04,-6.815934942147877962e+01
1.120000000000000107e+01,1.843675299001104498e-04,-7.468630654523666124e+01
1.140000000000000036e+01,4.019902009816703442e-04,-6.791568850452728157e+01
1.160000000000000142e+01,3.084575331375781298e-04,-7.021608956344867636e+01
1.180000000000000071e+01,2.598589576999741930e-04,-7.170524281441645087e+01
1.200000000000000000e+01,1.206526482017493792e-04,-7.836925562756775321e+01
1.220000000000000107e+01,3.258872027309851218e-04,-6.973865120501393733e+01
1.240000000000000036e+01,3.284952839015747666e-04,-6.966941457749706501e+01
1.260000000000000142e+01,2.683847597237125804e-04,-7.142483974948777359e+01
1.280000000000000071e+01,8.036402771769221446e-05,-8.189875529637066620e+01
1.300000000000000000e+01,2.122106474714758782e-04,-7.346465249829212496e+01
1.320000000000000107e+01,3.081952368172346450e-04,-7.022347873414719288e+01
1.340000000000000036e+01,2.783365294882972959e-04,-7.110859272291742172e+01
1.360000000000000142e+01,2.750625857759204625e-04,-7.121136641545251678e+01
1.380000000000000071e+01,4.593157747815501446e-05,-8.675775386708116343e+01
1.400000000000000000e+01,3.561502412590937679e-04,-6.896733270366632951e+01
1.420000000000000107e+01,3.147522691317517266e-04,-7.004061984572213362e+01
1.440000000000000036e+01,2.810724539379768293e-04,-7.102363120277338737e+01
1.460000000000000142e+01,4.278056389653667429e-04,-6.737506787428594635e+01
1.480000000000000071e+01,4.013830193855798408e-04,-6.792881792405844976e+01
1.500000000000000000e+01,2.062646271572116097e-04,-7.371150066697664727e+01
1.520000000000000107e+01,1.518794669526625182e-04,-7.637001299629363871e+01
1.540000000000000036e+01,4.200547987905698223e-04,-6.753387892138880488e+01
1.560000000000000142e+01,2.336289513076465014e-04,-7.262946309094172648e+01
1.580000000000000071e+01,1.449688555330922173e-04,-7.677449980139311947e+01
1.600000000000000000e+01,1.173190002094660228e-04,-7.861262553087067317e+01
1.619999999999999929e+01,1.876097524804977651e-04,-7.453488716076414278e+01
1.640000000000000213e+01,1.142919764382319537e-04,-7.883967754055163368e+01
1.660000000000000142e+01,1.020677631124724611e-04,-7.982221955001595859e+01
1.680000000000000071e+01,3.717569224774849255e-05,-8.859479535045278453e+01
1.700000000000000000e+01,8.758477932963072980e-05,-8.115141728086676665e+01
1.719999999999999929e+01,1.042498537797146083e-04,-7.963848257806142783e+01
1.740000000000000213e+01,1.902634935742052202e-04,-7.441288609683853394e+01
1.760000000000000142e+01,3.078661070432924798e-04,-7.023275957692513316e+01
1.780000000000000071e+01,2.088699828577147933e-04,-7.360247521956745231e+01
1.800000000000000000e+01,4.060846309129447282e-05,-8.782764754955525177e+01
1.819999999999999929e+01,2.863568328000218495e-04,-7.086184596008612857e+01
1.840000000000000213e+01,3.844332478082321020e-04,-6.830357892678554776e+01
1.860000000000000142e+01,3.743096765654789580e-04,-6.853537658873000282e+01
1.880000000000000071e+01,4.404202391458623619e-04,-6.712265265981643836e+01
1.900000000000000000e+01,5.176819723290509122e-04,-6.571873749323057723e+01
1.920000000000000284e+01,4.029922251184965640e-04,-6.789406449605749572e+01
1.940000000000000213e+01,1.926110351102235693e-04,-7.430637218668687183e+01
1.960000000000000142e+01,1.444449632828365821e-04,-7.680594593006962612e+01
1.980000000000000071e+01,1.606639705174515769e-04,-7.588162468261059246e+01
2.000000000000000000e+01,2.006996126777461399e-04,-7.394906498498458802e+01
2.020000000000000284e+01,7.811403280795453207e-05,-8.214540768475005450e+01
2.040000000000000213e+01,1.299791410240440967e-04,-7.772252006595594764e+01
2.060000000000000142e+01,1.361909347525374540e-04,-7.731702960847238160e+01
2.080000000000000071e+01,3.899241797877974858e-04,-6.818039442680911577e+01
2.100000000000000000e+01,9.855875757798533015e-05,-8.012608678347376667e+01
2.120000000000000284e+01,2.919145996052890826e-04,-7.069488070409542502e+01
2.140000000000000213e+01,2.687371469689132887e-04,-7.141344272403422622e+01
2.160000000000000142e+01,3.945176236313153073e-04,-6.807866962843834813e+01
2.180000000000000071e+01,4.151132450042058285e-04,-6.763666609520834072e+01
2.200000000000000000e+01,2.223707382613282642e-04,-7.305844333573683969e+01
2.220000000000000284e+01,3.071157457125020052e-04,-7.025395550910887721e+01
2.240000000000000213e+01,5.372335419124084452e-05,-8.539672143608726174e+01
2.260000000000000142e+01,1.396274381857039995e-04,-7.710057838173065647e+01
2.280000000000000071e+01,4.007542873044261456e-04,-6.794243428918699124e+01
2.300000000000000000e+01,3.203733243136903681e-04,-6.988687033568905349e+01
2.320000000000000284e+01,2.578059761878750576e-04,-7.177413702097368287e+01
2.340000000000000213e+01,1.223846786942725886e-04,-7.824545186278821518e+01
2.360000000000000142e+01,1.047248051322609058e-04,-7.959900048766701275e+01
2.380000000000000071e+01,2.411756492586968211e-04,-7.235332727165084066e+01
2.400000000000000000e+01,1.210451515016383736e-04,-7.834104485754455993e+01
2.420000000000000284e+01,3.558037169607076761e-04,-6.897578794482369346e+01
2.440000000000000213e+01,3.065845281114523463e-04,-7.026899248172240675e+01
2.460000000000000142e+01,1.983694347876979215e-04,-7.405050050346814317e+01
2.480000000000000071e+01,2.239349680810309620e-04,-7.299755781742999261e+01
2.500000000000000000e+01,2.117549451490934899e-04,-7.348332467266673973e+01
2.520000000000000284e+01,3.735759533930170539e-04,-6.855241940540138046e+01
2.540000000000000213e+01,3.952795643927110142e-04,-6.806191055701636117e+01
2.560000000000000142e+01,1.731386962580539325e-04,-7.523211212453469443e+01
2.580000000000000071e+01,1.297922306434453352e-04,-7.773501937993269451e+01
2.600000000000000000e+01,1.391812588959490799e-04,-7.712837855180052316e+01
2.620000000000000284e+01,1.357087897170287320e-04,-7.734783405217038421e+01
2.640000000000000213e+01,2.769814506806369441e-04,-7.115098315332738821e+01
2.660000000000000142e+01,1.230216329862763745e-03,-5.820036954313878397e+01
2.680000000000000071e+01,1.092850559766067728e-03,-5.922878362414930109e+01
2.700000000000000000e+01,1.541656036458563354e-03,-5.624024968124107460e+01
2.720000000000000284e+01,3.545051614545079340e-03,-4.900754850057601431e+01
2.740000000000000213e+01,2.947872694297025507e-03,-5.060982521901958364e+01
2.760000000000000142e+01,8.211471618696675190e-03,-4.171157997081920854e+01
2.780000000000000071e+01,7.642315480945321114e-03,-4.233550065136795837e+01
2.800000000000000000e+01,2.301689508491483287e-03,-5.275906486006896046e+01
2.820000000000000284e+01,3.110402287594234410e-03,-5.014366846764709607e+01
2.840000000000000213e+01,1.594028325636193079e-03,-5.595007876561280113e+01
2.860000000000000142e+01,8.585035623359023879e-04,-6.132515695638906550e+01
2.880000000000000071e+01,3.831632838269744055e-04,-6.833232000030926656e+01
2.900000000000000000e+01,2.056348744996584548e-04,-7.373806036742243464e+01
2.920000000000000284e+01,4.283493344742914316e-04,-6.736403604274754287e+01
2.940000000000000213e+01,4.863468674458517704e-04,-6.626107575535212391e+01
2.960000000000000142e+01,3.497532260596851960e-04,-6.912476293586496467e+01
2.980000000000000071e+01,2.558743807853970393e-04,-7.183946051177807135e+01
3.000000000000000000e+01,2.558761463980215142e-04,-7.183940057667457779e+01
3.020000000000000284e+01,2.657772848715537822e-04,-7.150963952304581994e+01
3.040000000000000213e+01,4.959614218113442665e-04,-6.609104032153595654e+01
3.060000000000000142e+01,4.206126671729824460e-04,-6.752235097970705624e+01
3.080000000000000071e+01,2.652768421053762612e-04,-7.152600994581833049e+01
3.100000000000000000e+01,2.857781155525477147e-04,-7.087941759808812492e+01
3.120000000000000284e+01,2.600097424757983017e-04,-7.170020423658195341e+01
3.140000000000000213e+01,5.119087688280527545e-05,-8.581613165366641738e+01
3.160000000000000142e+01,1.768274250197226561e-04,-7.504900263331944643e+01
3.180000000000000071e+01,5.229929977543910534e-04,-6.563008085466067598e+01
3.200000000000000000e+01,4.660825733922828061e-04,-6.663074083300192285e+01
3.220000000000000284e+01,7.014627908141257999e-04,-6.307990598639575808e+01
3.239999999999999858e+01,8.783918990761943124e-04,-6.112623257383786779e+01
3.260000000000000142e+01,3.598112643100104843e-04,-6.887850247966557049e+01
3.280000000000000426e+01,3.445850477900339829e-04,-6.925406890640974211e+01
3.300000000000000000e+01,5.954657157401891136e-04,-6.450286330533803891e+01
3.320000000000000284e+01,5.654727232356229977e-04,-6.495176525075358143e+01
3.339999999999999858e+01,3.726979280496270147e-04,-6.857285810196270859e+01
3.360000000000000142e+01,2.670136587829745963e-04,-7.146932719146725788e+01
3.380000000000000426e+01,3.770958082587378053e-04,-6.847096359905239638e+01
3.400000000000000000e+01,4.232067794226884727e-04,-6.746894562517438487e+01
3.420000000000000284e+01,1.508104893710350970e-04,-7.643136325633491879e+01
3.439999999999999858e+01,2.880066455031305957e-04,-7.081194680728204105e+01
3.460000000000000142e+01,3.328684348846939556e-04,-6.955454511049190103e+01
3.480000000000000426e+01,3.151008584778547915e-04,-7.003100551563709075e+01
3.500000000000000000e+01,2.179440712798334074e-04,-7.323309482609909082e+01
3.520000000000000284e+01,1.019610536902235945e-04,-7.983130518267773823e+01
3.539999999999999858e+01,3.297120277203180829e-04,-6.963730156031294882e+01
3.560000000000000142e+01,2.640061967204657698e-04,-7.156771429606240531e+01
3.580000000000000426e+01,6.183341321290578094e-04,-6.417553418976312685e+01
3.600000000000000000e+01,4.856059453423778476e-04,-6.627431830675756430e+01
3.620000000000000284e+01,3.594366539193723513e-04,-6.888755033039221587e+01
3.639999999999999858e+01,6.656088478766430689e-04,-6.353561696790041680e+01
3.660000000000000142e+01,5.945422730616741706e-04,-6.451634375509985375e+01
3.680000000000000426e+01,4.461558825139463609e-04,-6.701026558352157281e+01
3.700000000000000000e+01,3.820604481332883829e-04,-6.835735611158666813e+01
3.720000000000000284e+01,5.490924431982377061e-04,-6.520708908137055460e+01
3.739999999999999858e+01,4.313130845737053070e-04,-6.730414531887608121e+01
3.760000000000000142e+01,2.996411071767454649e-04,-7.046796923875241703e+01
3.780000000000000426e+01,5.532300830403888425e-04,-6.514188267500361462e+01
3.800000000000000000e+01,3.710559023055684416e-04,-6.861121077498711429e+01
3.820000000000000284e+01,2.603107930226069796e-04,-7.169015315870460370e+01
3.840000000000000568e+01,3.450519311558704815e-04,-6.924230823534135482e+01
3.860000000000000142e+01,4.160369288987099574e-04,-6.761736027541206795e+01
3.880000000000000426e+01,7.833899370245280686e-04,-6.212043912022016912e+01
3.900000000000000000e+01,5.741911767174159202e-04,-6.481886819437535507e+01
3.920000000000000284e+01,2.122848727932427648e-04,-7.346161495077863890e+01
3.940000000000000568e+01,3.703957787654754805e-04,-6.862667708339655803e+01
3.960000000000000142e+01,5.710883524487906163e-04,-6.486593242578780405e+01
3.980000000000000426e+01,5.692681687820953405e-04,-6.489366046488632378e+01
4.000000000000000000e+01,6.136159337047407750e-04,-6.424206601708382891e+01
4.020000000000000284e+01,7.232203236903386430e-04,-6.281458635832060367e+01
4.040000000000000568e+01,2.395712000143838808e-04,-7.241130420912240595e+01
4.060000000000000142e+01,4.854387460312265781e-04,-6.627730946564521730e+01
4.080000000000000426e+01,2.853127299443810033e-04,-7.089357397108099690e+01
4.100000000000000000e+01,8.952665416748760993e-04,-6.096095194705518594e+01
4.120000000000000284e+01,9.972660416643617555e-04,-6.002377851015885568e+01
4.140000000000000568e+01,1.123932117788250520e-03,-5.898519758900773979e+01
4.160000000000000142e+01,9.020605043333218423e-04,-6.089528567392011382e+01
4.180000000000000426e+01,1.289051633147821757e-04,-7.779458699321128279e+01
4.200000000000000000e+01,4.803646876631959689e-04,-6.636857670665038711e+01
4.220000000000000284e+01,6.450552936651081370e-04,-6.380805978077950158e+01
4.240000000000000568e+01,5.246897142575811983e-04,-6.560194733256318500e+01
4.260000000000000142e+01,1.786120083120984632e-04,-7.496178206293788548e+01
4.280000000000000426e+01,3.062067307154489257e-04,-7.027970250992441947e+01
4.300000000000000000e+01,5.373807205903982859e-04,-6.539435675658312164e+01
4.320000000000000284e+01,2.608274659461010808e-04,-7.167293022922930845e+01
4.340000000000000568e+01,4.236101998775824128e-04,-6.746066977555845767e+01
4.360000000000000142e+01,4.908891303643973325e-04,-6.618032991594192538e+01
4.380000000000000426e+01,7.105120814652758805e-04,-6.296856943712853649e+01
4.400000000000000000e+01,7.567902990773475464e-04,-6.242048772383186872e+01
4.420000000000000284e+01,3.503728733529129372e-04,-6.910938802589991781e+01
4.440000000000000568e+01,4.873550385183106912e-04,-6.624308901023304941e+01
4.460000000000000142e+01,3.578088079417396481e-04,-6.892697703044360935e+01
4.480000000000000426e+01,3.810464864489539367e-04,-6.838043849169112320e+01
4.500000000000000000e+01,5.530182734816734610e-04,-6.514520878912675528e+01
4.520000000000000284e+01,5.097664667086529910e-04,-6.585257302700472337e+01
4.540000000000000568e+01,2.152985989331817208e-04,-7.333917189287971894e+01
4.560000000000000142e+01,7.665535648450405365e-04,-6.230914871364183938e+01
4.580000000000000426e+01,4.597871403413001799e-04,-6.674886170205921587e+01
4.600000000000000000e+01,4.162354118696688925e-04,-6.761321739882050963e+01
4.620000000000000284e+01,2.323754068700737080e-04,-7.267619299824610835e+01
4.640000000000000568e+01,2.164286088721473710e-04,-7.329370262752165388e+01
4.660000000000000142e+01,1.590688424335744752e-03,-5.596829704069897815e+01
4.680000000000000426e+01,1.466655292917242847e-03,-5.667343833029654121e+01
4.700000000000000000e+01,9.757275880998021646e-04,-6.021342741832449263e+01
4.720000000000000284e+01,1.333226946744511202e-03,-5.750191769061797231e+01
4.740000000000000568e+01,1.776563592679618374e-03,-5.500838435472935117e+01
4.760000000000000142e+01,1.489070372010841943e-03,-5.654169496528955108e+01
4.780000000000000426e+01,1.406679494147186366e-03,-5.703609625088029134e+01
4.800000000000000000e+01,9.221730521956885080e-04,-6.070375051639408781e+01
4.820000000000000284e+01,7.472741818712286092e-04,-6.253039928257923208e+01
4.840000000000000568e+01,3.883717288600519423e-04,-6.821504559661660494e+01
4.860000000000000142e+01,8.548909935895106574e-04,-6.136178414907756462e+01
4.880000000000000426e+01,7.848218015613882270e-04,-6.210457771718662912e+01
4.900000000000000000e+01,2.799427564749748000e-03,-5.105861499778534807e+01
4.920000000000000284e+01,1.180478597488660974e-03,-5.855883691285882975e+01
4.940000000000000568e+01,1.504125217644144714e-03,-5.645431957150922386e+01
4.960000000000000142e+01,1.455269176909773860e-03,-5.674113278434084151e+01
4.980000000000000426e+01,1.221940842942411971e-03,-5.825899566540468300e+01
5.000000000000000000e+01,1.428152493838220774e-03,-5.690450774025326552e+01
5.020000000000000284e+01,2.462835008224962836e-03,-5.217129328157137991e+01
5.040000000000000568e+01,1.381035011828851342e-03,-5.719590559309541078e+01
5.060000000000000142e+01,4.128311734526719898e-04,-6.768454821533617860e+01
5.080000000000000426e+01,6.120051219847973643e-04,-6.426489744370620372e+01
5.100000000000000000e+01,1.207630247790404850e-03,-5.836131963354348784e+01
5.120000000000000284e+01,1.533163568129879226e-03,-5.628822961822151427e+01
5.140000000000000568e+01,1.247049528344358138e-03,-5.808232525461165352e+01
5.160000000000000142e+01,2.317131105008164108e-03,-5.270098748131957933e+01
5.180000000000000426e+01,3.292626384049176461e-03,-4.964915065826044582e+01
5.200000000000000000e+01,1.552005542016939542e-03,-5.618213408562400701e+01
5.220000000000000284e+01,1.323984307769356713e-03,-5.756234258885693578e+01
5.240000000000000568e+01,2.322341725799875831e-03,-5.268147712060773102e+01
5.260000000000000142e+01,1.126239027451494219e-03,-5.896738777216637573e+01
5.280000000000000426e+01,3.276293754269332323e-03,-4.969234305664307527e+01
5.300000000000000000e+01,7.119300995663797134e-04,-6.295125168426164208e+01
5.320000000000000284e+01,5.219064865809708688e-04,-6.564814444427726414e+01
5.340000000000000568e+01,1.968268292028761430e-03,-5.411831363405283213e+01
5.360000000000000142e+01,4.314079318669892735e-03,-4.730223728308108377e+01
5.380000000000000426e+01,5.684262627022262059e-03,-4.490651714318446608e+01
5.400000000000000000e+01,3.499328181837360174e-03,-4.912030626435860370e+01
5.420000000000000284e+01,8.254452767681108799e-04,-6.166623321127239166e+01
5.440000000000000568e+01,1.074581122773659528e-03,-5.937521505120790977e+01
5.460000000000000142e+01,1.695366547103791758e-03,-5.541472729913464690e+01
5.480000000000000426e+01,5.000217747755366683e-03,-4.602022148121142209e+01
5.500000000000000000e+01,3.713179760718744987e-03,-4.860508027415817622e+01
5.520000000000000284e+01,6.219761501902969572e-03,-4.412452522246084641e+01
5.540000000000000568e+01,1.185004837031853817e-02,-3.852559746506265270e+01
5.560000000000000142e+01,6.744803494404762526e-03,-4.342061384529188928e+01
5.580000000000000426e+01,4.847679856882140467e-03,-4.628932119906355780e+01
5.600000000000000000e+01,3.309237264945098875e-03,-4.960544161305147526e+01
5.620000000000000284e+01,9.227043583967971512e-04,-6.069874761850216771e+01
5.640000000000000568e+01,2.765049345610607300e-03,-5.116594196158828112e+01
5.660000000000000142e+01,4.778086283204955112e-03,-4.641492005777507757e+01
5.680000000000000426e+01,3.132032995282335586e-03,-5.008347315052864701e+01
5.700000000000000000e+01,2.257983209709610219e-03,-5.292558545130168568e+01
5.720000000000000284e+01,1.250260438672397886e-03,-5.805998952036127037e+01
5.740000000000000568e+01,2.172352407893947575e-03,-5.326139400697367421e+01
5.760000000000000142e+01,5.310335049825922263e-03,-4.549756137073685380e+01
5.780000000000000426e+01,4.391108477846133659e-03,-4.714851648143109486e+01
5.800000000000000000e+01,2.666081969408229738e-03,-5.148252971852918591e+01
5.820000000000000284e+01,1.213141742143048884e-03,-5.832176835762918898e+01
5.840000000000000568e+01,1.942680163842764674e-03,-5.423197343808399751e+01
5.860000000000000142e+01,1.186774741543063531e-03,-5.851263337745160698e+01
5.880000000000000426e+01,2.463941208398778143e-03,-5.216739282740974204e+01
5.900000000000000000e+01,3.683386915720267274e-03,-4.867505294323113674e+01
5.920000000000000284e+01,2.513439148285342463e-03,-5.199463215065805599e+01
5.940000000000000568e+01,1.486677146628978541e-03,-5.655566610665847094e+01
5.960000000000000142e+01,1.575722337972526805e-03,-5.605040561349170503e+01
5.980000000000000426e+01,1.861254648138678048e-03,-5.460388362669947071e+01
6.000000000000000000e+01,2.302974480691810742e-03,-5.275421711154650239e+01
6.020000000000000284e+01,2.397369211377251095e-03,-5.240530116714761277e+01
6.040000000000000568e+01,3.733895405588216754e-03,-4.855675680209032663e+01
6.060000000000000142e+01,3.637626668028026266e-03,-4.878363725938812934e+01
6.080000000000000426e+01,1.888785022113219055e-03,-5.447634893673122036e+01
6.100000000000000000e+01,2.556116121589221100e-03,-5.184838807093492363e+01
6.120000000000000284e+01,3.525046049386020008e-03,-4.905670385831692215e+01
6.140000000000000568e+01,2.951156292435799019e-03,-5.060015550114161442e+01
6.160000000000000142e+01,3.128901464270094496e-03,-5.009216199221691568e+01
6.180000000000000426e+01,1.906480517060502380e-03,-5.439535211566310124e+01
6.200000000000000000e+01,6.443021378378223449e-04,-6.381820720455127116e+01
6.220000000000000284e+01,1.403530619500555727e-03,-5.705556154782169642e+01
6.240000000000000568e+01,3.485035764270916128e-03,-4.915585496495035045e+01
6.260000000000000142e+01,2.721591169881101575e-03,-5.130354193653889183e+01
6.280000000000000426e+01,1.354080482251840151e-03,-5.736710979446560543e+01
6.300000000000000000e+01,3.707890832916373603e-03,-4.861746098099967384e+01
6.320000000000000284e+01,3.579281981426393842e-03,-4.892408147461695478e+01
6.340000000000000568e+01,4.771923199555432038e-03,-4.642613090962125710e+01
6.360000000000000142e+01,4.789405581394523721e-03,-4.639436749916014691e+01
6.380000000000000426e+01,1.184682126097203695e-03,-5.852796254514633745e+01
6.400000000000000000e+01,3.761101250151074535e-03,-4.849369927030075189e+01
6.420000000000000284e+01,3.354692918029876774e-03,-4.948694430379215703e+01
6.440000000000000568e+01,3.888283078939837496e-03,-4.820484226908963876e+01
6.460000000000000853e+01,3.906580921805859717e-03,-4.816406328139088799e+01
6.479999999999999716e+01,2.123358368369268785e-03,-5.345953362875876280e+01
6.500000000000000000e+01,1.254261864735621654e-03,-5.803223494861735787e+01
6.520000000000000284e+01,4.575335332071970760e-04,-6.679153951044627036e+01
6.540000000000000568e+01,1.078306462632376648e-03,-5.934515503285260962e+01
6.560000000000000853e+01,1.698850376663137325e-03,-5.539689687250412931e+01
6.579999999999999716e+01,1.606443719247078929e-03,-5.588268916094979488e+01
6.600000000000000000e+01,1.307414802610677371e-03,-5.767173138044627478e+01
6.620000000000000284e+01,6.596192151182157359e-04,-6.361413271469103847e+01
6.640000000000000568e+01,4.319368125781950472e-03,-4.729159541611654305e+01
6.660000000000000853e+01,7.915056637780857815e-03,-4.203091935243976707e+01
6.679999999999999716e+01,6.248882504086430457e-03,-4.408395268436466097e+01
6.700000000000000000e+01,5.792093920185085142e-03,-4.474328794134193998e+01
6.720000000000000284e+01,5.787668729528306841e-03,-4.474992654353822275e+01
6.740000000000000568e+01,7.080054069183597774e-03,-4.299926839059012451e+01
6.760000000000000853e+01,8.537032148222470709e-03,-4.137386156098057199e+01
6.779999999999999716e+01,7.827217772516339989e-03,-4.212785154638324059e+01
6.800000000000000000e+01,6.765509797077328899e-03,-4.339398932606638937e+01
6.820000000000000284e+01,7.224916562431515921e-03,-4.282334316036909883e+01
6.840000000000000568e+01,8.753930253752916293e-03,-4.115593825909851944e+01
6.860000000000000853e+01,8.909427836428391104e-03,-4.100300361180666187e+01
6.879999999999999716e+01,9.000029099620512896e-03,-4.091512163073907971e+01
6.900000000000000000e+01,9.306518262361096125e-03,-4.062425522852564796e+01
6.920000000000000284e+01,1.108185961806385129e-02,-3.910774703489639137e+01
6.940000000000000568e+01,1.066027861059024029e-02,-3.944462881258844078e+01
6.960000000000000853e+01,9.251537356762290498e-03,-4.067572177007620127e+01
6.979999999999999716e+01,9.357961934019503811e-03,-4.057637442213574985e+01
7.000000000000000000e+01,1.019165848888673939e-02,-3.983510266455052573e+01
7.020000000000000284e+01,1.149741439869466329e-02,-3.878799622804770308e+01
7.040000000000000568e+01,1.201494869994262742e-02,-3.840556151085083769e+01
7.060000000000000853e+01,1.081671595582677295e-02,-3.931809141177507883e+01
7.079999999999999716e+01,1.104304623494059556e-02,-3.913822211192687206e+01
7.100000000000000000e+01,1.197007286635257996e-02,-3.843806404485807349e+01
7.120000000000000284e+01,1.340292065866435095e-02,-3.745601100113860582e+01
7.140000000000000568e+01,1.260280432778321073e-02,-3.799065606274437812e+01
7.160000000000000853e+01,9.594668627870362246e-03,-4.035940030839104509e+01
7.179999999999999716e+01,8.732315339396581194e-03,-4.117741169124386857e+01
7.200000000000000000e+01,7.914516591490004457e-03,-4.203151201307015583e+01
7.220000000000000284e+01,8.734919584102227366e-03,-4.117482167832981332e+01
7.240000000000000568e+01,8.448104958533602868e-03,-4.146481387997013002e+01
7.260000000000000853e+01,4.533849674513034354e-03,-4.687065747942995131e+01
7.279999999999999716e+01,3.831856864056156289e-03,-4.833181421358445817e+01
7.300000000000000000e+01,6.497692749797702449e-03,-4.374481643781618345e+01
7.320000000000000284e+01,4.170473395956712792e-03,-4.759629268945889891e+01
7.340000000000000568e+01,4.524741803818997134e-03,-4.688812376760211720e+01
7.360000000000000853e+01,8.151415365509494595e-03,-4.177533941910422044e+01
7.379999999999999716e+01,8.728824417309384576e-03,-4.118088474792443776e+01
7.400000000000000000e+01,1.848548123684574289e-03,-5.466338430720641384e+01
7.420000000000000284e+01,3.171061864008214558e-03,-4.997590543152433185e+01
7.440000000000000568e+01,6.273391862739095999e-03,-4.404995153623984550e+01
7.460000000000000853e+01,3.583461980382351714e-03,-4.891394373608545720e+01
7.479999999999999716e+01,4.312504579282629667e-03,-4.730540841374487826e+01
7.500000000000000000e+01,9.061835330895660554e-03,-4.085567658337697594e+01
7.520000000000000284e+01,1.528174424026400129e-02,-3.631654140458649493e+01
